Bing	Xu
Bingham	George Caleb
Cartier-Bresson	Henri
Catesby	Mark
Catlett	Elizabeth
Catlin	George
Dauterman	Russell
David	Jacques-Louis
Delaney	Janet
Delaunay	Robert
Granz	Matt
Gray	Eileen
Greene	Balcomb
Greenfield	Lois
Heighton	Brent
Hein	Jeppe
Helfer	Fay
Henri	Robert
Jungen	Brian
Kahila	Janne
Kar-wai	Wong
Karimova	Elina
Ledent	Pol
Ledroit	Olivier
Lee	Minjae
Lemmen	Georges
Loish	N/A
Long	Richard
Longhurst	Kathrin
Lorrain	Claude
Mauve	Anton
Maxence	Edgar
Mayne	Thom
McAllister	Cristina
Pinkney	Jerry
Pinturicchio	N/A
Piot	Étienne Adolphe
Pishtar	Julia
Rossbach	Jean-Sebastien
Runge	Philipp Otto
Rungius	Carl
Rusinol	Santiago
Scher	Paula
Schikaneder	Jakub
Schinkel	Karl Friedrich
Schlemmer	Oskar
Trimpe	Herb
Trumbull	John
Tsang	Johnson
Tuke	Henry Scott
Vettriano	Jack
Vivier	Camille
Võ	Danh
von Aachen	Hans
Wilkes	Cathy
Wilkins	Edward Blair
Wilkins	Sophie
Willers	Heike
Baade	Carrie Ann
Bachalo	Chris
Bachelier	Anne
Baes	Firmin
Baheux	Laurent
Bailey	David
Barney	Matthew
Benscoter	Wes
Benton	Thomas Hart
Bergland	Don
Bergsma	Jody
Billingham	Richard
Birch	Thomas
Birrell	George
Bissell	Robert
Blacklock	William Kay
Blake	Peter
Blakelock	Ralph
Blanding	Don
Blish	Carolyn
Blish	Carolyn
Blumenfeld	Erwin
Bocek	Anna
Bogle	Lee
Boily	Louis-Léopold
Boldini	Giovanni
Bolland	Brian
Boltanski	Christian
Bone	Tami
Bonheur	Rosa
Bonington	Richard Parkes
Bontecou	Lee
Borremans	Michael
Botero	Fernando
Boucher	François
Boughton	George Henry
Bouvattier	Annick
Bowers	David Michael
Bracht	Eugen
Brack	John
Bramley	Frank
Brandt	Bill
Braque	Georges
Brassaï	N/A
Brayne	David
Brendekilde	Hans Andersen
Breslauer	Marianne
Breton	Jules
Breuer	Marcel
Bridgman	Frederick Arthur
Brigman	Anne
Bronzino	N/A
Brood	Herman
Brooks	Romaine
Brooks	Troy
Broom	Lee
Brosh	Allie
Brown	Cecily
Browning	Rob
Brueghel the Elder	Jan
Brueghel the Younger	Pieter
Brunet	Marc
Bruno	Nicolas
Bruyn the Elder	Barthel
Bruyn the Younger	Barthel
Bua	Justin
Buchet	Philippe
Buckman	Zoe
Bujnowski	Leszek
Bullough	James
Bunny	Rupert
Bunt	Gary
Burgerman	Jon
Burgert	Jonas
Burns	Charles
Burri	Rene
Burrington	Stasia
Buscema	John
Busciglio	Nicholas
Busiek	Kurt
Byam Shaw	N/A
Byars	James Lee
Cadmus	Paul
Caffery	Debbie Fleming
Caffi	Ippolito
Caillebotte	Gustave
Caliari	Benedetto
Callaghan	George
Calleri	Fred
Callis	Jo Ann
Camargo	Iberê
Campbell	J. Scott
Camuncoli	Giuseppe
Capullo	Greg
Carr	Emily
Carriera	Rosalba
Carrington	Leonora
Carter	Keith
Cattelan	Maurizio
Cazneaux	Harold
Ceccoli	Nicoletta
Cecile	Agnes
Chen	Bo
Cheret	Jules
Chiang	Cliff
Chiang	Doug
Chihuly	Dale
Childs	Casey
Cho	Michael
Choe	David
Choultse	Ivan Fedorovich
Christakis	George
Clausen	George
Clemente	Francesco
Clergue	Lucien
Cloonan	Becky
Closterman	John
Clottey	Serge Attukwei
Clowes	Daniel
Coburn	Alvin Langdon
Cocteau	Jean
Coffin	Clifford
Colbert	Gregory
Cold	Chris
Colen	Dan
Coll	Joseph Clement
Colla	Eddie
Colletta	Vince
Conklin	Beth
Coomber	Yvonne
Coppedge	Fern Isabel
Correll	Gemma
Cortes	Eduard
Cortright	Petra
Costa the Elder	Lorenzo
Costa the Younger	Lorenzo
Cotman	John Sell
Cotton	Olive
Coverly	Dave
Coville	Bruce
Cowper	Frank Cadogan
Craft	Kinuko Y.
Cragg	Tony
Craig-Martin	Michael
Crain	Clayton
Cranach the Younger	Lucas
Creed	Martin
Creese	Michael
Crome	John
Crook	PJ
Cropsey	Jasper Francis
Crosby	Njideka Akunyili
Crowther	Jane
Cruz-Diez	Carlos
Cucuel	Edward
Curran	Charles Courtney
da Messina	Antonello
da Rimini	Pietro
Danish	Dmitri
Danziger	Jeff
Darbishire	Stephen
Dargas	Mike
Demarchelier	Patrick
Demsteader	Mark
Demuth	Charles
Denis	Maurice
Dewing	Thomas
di Cosimo	Piero
diCorcia	Philip-Lorca
DiDonato	Brooke
Dieckmann	Sandra
Digalakis	George
Dine	Jim
Ditlev	Jan
Dixon	Maynard
Dodson	Terry
Dolci	Carlo
Domenichino	N/A
Domergue	Jean-Gabriel
Dorr	Nell
Drossin	Jessica
du Puigaudeau	Ferdinand
Dubbeldam	Ton
Dubois-Pillet	Albert
Duccio	N/A
Dufy	Raoul
Dumas	Marlene
Dunbar	Evelyn
Durgin	Bill
Dwyer	Charles
Dyer	Chris
Gaertner	Eduard
Gillray	James
Gilman	Harold
Ginner	Charles
Giraud	Eugène
Glackens	William James
Gleizes	Albert
Glendinning	Lucy
Gonzalez-Torres	Felix
Gormley	Antony
Gottardo	Alessandro
Gottlieb	Adolph
Granov	Adi
Griffin	Rick
Griffiths	Mitch
Grimly	Gris
Groh	Boris
Gross	Alex
Grossmith	Lucy
Guayasamin	Oswaldo
Guercino	N/A
Guillemin	Grégoire
Guillory	Rob
Guillot	Laure Albin
Guillou	Alfred
Guimard	Hector
Guo-Qiang	Cai
Guyton	Wade
Hawkins	Louis Weldon
Hawkinson	Tim
Hayashida	Q
Hayez	Francesco
Hefferan	Rob
Heiden	Jamie
Henson	Mark
Herbin	Auguste
Hergé	N/A
Herrero	Lowell
Hersey	Edward
Hescox	Richard
Hesse	Eva
Hido	Todd
Hill	Kevin
Hillenburg	Stephen
Hilliard	Nicholas
Hiroshige	N/A
Hirsch	Alex
Hirshfield	Morris
Hirst	Damien
Hitch	Bryan
Ho	Fan
Hobbema	Meindert
Hobbie	Jocelyn
Hocks	Teun
Hoffman	Martina
Hofmann	Hans
Hoisel	Tiago
Holbein the Elder	Hans
Holbein the Younger	Hans
Holcroft	John
Holland	Jim
Holler	Carsten
Holloway	Lisa
Holloway	Zena
Holtz	Tim
Hondius	Hendrik
Hoong	Tang Yau
Hopkins	Thurston
Hopper	Erica
Horn	Roni
Horst	Horst P.
Horta	Victor
Howard	Ken
Howie	Malcolm
Howitt	Alex
Howorth	Ian
Huang	Shilin
Hughes	Adam
Hughes	Jack
Hughes	Nicholas
Hughes	Talbot
Hume	Gary
Hurrell	George
Husain	M.F.
HUSH	N/A
Hussar	Michael
Hutchinson	Nicholas Hely
Hutton	Kurt
Huyghe	Pierre
Kenna	Michael
Kertész	André
Keyes	Josh
Kim	Sung
Kingsley	Harry
Kirchner	Raphael
Kisling	Moise
Kittelsen	Theodor
Kjartansson	Ragnar
Knight	Kris
Knight	Louis Aston
Knights	Winifred
Knorr	Karen
Kochar	Yervand
Koitsu	Tsuchiya
Kolins	Scott
Koson	Ohara
Kostabi	Mark
Kote	Josef
Kozloff	Joyce
Krull	Germaine
Kubert	Joe
Kubicki	Jarek
Kurasov	Georgy
Kurtzman	Harvey
Kustodiev	Boris
Laboile	Alain
Lachaise	Gaston
Lebasque	Henri
Leclerc	Raynald
Lemmer	Alayna
Lenoir	Charles-Amable
Lentulov	Aristarkh
Leroy	Eugene
Lettl	Wolfgang
Leuthard	Thomas
Levers	Andreas
Levitt	Helen
LeWitt	Sol
Leyendecker	Frank Xavier
Leyster	Judith
Libeskind	Daniel
Lie	Jonas
Lieske	Daniel
Lifsches	Iwona
Lissitzky	El
Lively	Jim
Lobanov	Ruslan
Locher	Olivia
Lockertsen	Nikolai
Loiseau	Gustave
Loughridge	Lee
Louis	Morris
Lourenço	Didier
Lowry	L. S.
Lubalin	Herb
Lucas	Sarah
Luepke	Heiner
Lurie	John
Luttichuys	Simon
Lynes	George Platt
MacDonald	Frances
Mackey	Stephen
Maillol	Aristide
Makart	Hans
Manalo	Michael Vincent
Mancini	Antonio
Manev	Marko
Mankes	Jan
Mann	Clay
Manzanedo	Antonio J.
Marchuk	Ivan
Margetson	William Henry
Matsuyama	Tomokazu
Maufra	Maxime
McCarthy	Frank
McCay	Winsor
McCloud	Scott
McCracken	Craig
McCubbin	Frederick
McCurry	Steve
McGee	Barry
McGuinness	Norah
McGuinness	Tom
McHale	Patrick
Mckadesinsanity	N/A
McKay	Philip
McKenney	Christopher Ryan
Mckinstry	John
McLellan	Alasdair
McNaught	Jon
McNeal	Kevin
McQueen	Alexander
Meese	Jonathan
Mehretu	Julie
Meier	Richard
Meisel	Steven
Meissonier	Ernest
Melchers	Gari
Mellin	Charles
Melmoth	Emil
Memling	Hans
Mengs	Anton Raphael
Merle	Hugues
Messely	Johan
Metlan	Anatoly
Metsu	Gabriel
Metzker	Ray
Meyerowitz	Joel
Middlebrook	Jason
Milan	Dimitra
Millais	John Everett
Millar	Alexander
Miller	Richard E.
Millet	Francis Davis
Milne	David Brown
Minter	Marilyn
Miralles	Januz
Misrach	Richard
Mitchell	Joan
Mitchell	Kirsty
Mitchev	Peter
Miyajima	Tatsuo
Model	Lisette
Molin	Benoît-Hermogaste
Moll	Carl
Molloy	Matt
Monsted	Peder Mork
Mora	Antonio
Moran	Edward
Morandi	Giorgio
Morisot	Berthe
Morland	George
Moser	Koloman
Mosse	Richard
Mostyn	Thomas Edwin
Mould	David
Mouly	Marcel
Muniz	Vik
Murata	Range
Pacheco	Gabriel
Packard	Anne
Page	Michael
Pettibon	Raymond
Phillips	Richard
Piccinini	Patricia
Pich	Sopheap
Piene	Otto
Pieters	Nelleke
Pinke	Veronika
Pistoletto	Michelangelo
Plock	Ferris
Plowden	David
Pongiluppi	Guillem H.
Poons	Larry
Porter	Fairfield
Potocki	Gail
Potthast	Edward Henry
Pratt	Hugo
Preston	Margaret
Pui-Mun Law	Stephanie
Puryear	Martin
Putz	Leo
Ratzeburg	Julius Theodor Christian
Relander	Christoffer
Rheims	Bettina
Rhodan	Perry
Rhodes	Matt
Rive	Max
Roberts	Danny
Roberts	Slade
Robinson	Theodore
Robison	Joel
Rocafort	Kenneth
Rone	N/A
Rops	Felicien
Rosa	Salvator
Rosanes	Kerby
Rose	Guy
Rosenquist	James
Ruskin	John
Ruysch	Rachel
Sack	Steve
Safin	Marat
Safronow	Wlad
Sarnoff	Arthur
Scheiner	Artus
Schenck	August Friedrich
Schmid	Richard
Schnabel	Julian
Scholder	Fritz
Schongauer	Martin
Scott	Richard T.
Sears	Bart
Sedgley	Peter
Senatore	Edmondo
Serra	Richard
Sérusier	Paul
Severin	Marie
Severini	Gino
Shainblum	Michael
Shapcott	Michael
Sharp	Dorothea
Shatseva	Tanya
Shawcross	Conrad
Sheeler	Charles
Shek	Chung
Shengxian	Qiu
Sheri	Irene
Sheridan	Duffy
Shinsui	Ito
Shiraga	Kazuo
Shortridge	Stephen
Shuplyak	Oleg
Shuxing	Li
Sibthorp	Fletcher
Sickert	Walter
Sidar	Ebru
Sidibé	Malick
Signac	Paul
Silvers	Robert
Sime	Sidney
Simone	Gail
Simpson	Jeff
Sims	David
Siqueiros	David Alfaro
Siskind	Aaron
Sisley	Alfred
Siyah-Kalem	Mehmed
Siza	Álvaro
Slimane	Hedi
Sloane	John
Smart	Jeffrey
Smith	Jeff
Smith	Rodney
Smith	Samantha Keely
Smith	W. Eugene
Smithson	Robert
Snyders	Frans
Sobas	Marcin
Sohlberg	Harald
Sokolsky	Melvin
Soleri	Paolo
Solimena	Francesco
Solomon	Barbara Stauffacher
Somov	Konstantin
Sonrel	Elisabeth
Sorrenti	Davide
Sorrenti	Mario
Soth	Alec
Soto	Jeff
Soulages	Pierre
Souza	Francis Newton
Soyer	Moses
Soyer	Raphael
Spangler	Randal
Sparre	Kylli
Spencer	Jack
Spencer	Stanley
Spilliaert	Leon
Spiros	Dmitry
Spratt	Sam
Springer	Cornelis
Staelens	Christophe
Staples	Greg
Staprans	Raimonds
Steen	Jan
Stefanescu	George
Stein	Fred
Stein	Harvey
Steinberg	Saul
Steinlen	Théophile
Steinmetz	Mark
Steir	Pat
Stern	Bert
Stern	Grete
Stettner	Louis
Stevens	Alfred
Stieler	Joseph Karl
Still	Clyfford
Stock	Dennis
Stokes	Marianne
Stoller	Ezra
Stone	Chase
Stranka	Martin
Strino	Gianni
Strozzi	Bernardo
Strudwick	John Melhuish
Stuck	Franz
Styrsky	Jindrich
Sugar	Rebecca
Sughi	Alberto
Suh	Do Ho
Sullivan-Beeman	Deirdre
Sully	Thomas
Sung	Janice
Surfleet	Leanne
Suschitzky	Wolfgang
Sutkus	Antanas
Sviridova	Myroslava
Sweerts	Michael
Swinstead	George Hillyard
Szynkarczuk	Jacek
Taaffe	Philip
Timmermans	Alex
Titcomb	Mary Bradish
Tobey	Mark
Tocchini	Greg
Tomaselli	Fred
Toorop	Jan
Topor	Roland
Toppi	Sergio
Toraji	N/A
Totleben	John
Toulmouche	Auguste
Tremblay	Claudia
Tresoldi	Edoardo
Tress	Arthur
Tunick	Spencer
Tunnicliffe	Charles
Turbeville	Deborah
Turner	William
Tuttle	Richard
Tutwiler	David
Twachtman	John Henry
Tydeman	Naomi
Vaikuntam	Thota
Valeza	Brian
Vallotton	Felix
van de Velde	Esaias
van der Hamen	Juan
Van der Ouderaa	Pierre Jean
van der Weyden	Rogier
Verney-Carron	Antoine
Vesalius	Andreas
von Heyl	Charline
von Max	Gabriel
von Rydingsvard	Ursula
Vouet	Simon
Vuillard	Édouard
Wałkuski	Wiesław
Walpoth	Bruno
Weaver	Scott
Weiner	Lawrence
Weissenbruch	Hendrik
Welker	David
West	Franz
Wetter	Oliver
Whatson	Martin
Whitaker	William
Wiesenfeld	Aron
Wilson	Wes
Wood-Evans	Jake
Wool	Christopher
Wrede	Thomas
Yokoi	Kozo
