Finlay	Virgil
Finnstark	Anato
Finster	Howard
Fischer	Anton Otto
Fischer	Paul Gustav
Fischinger	Oskar
Fischl	Eric
Fisher	Samuel Melton
Fitzgerald	John Anster
Fitzpatrick	Tony
Flandrin	Hippolyte
Flavin	Dan
Fleischer	Max
Flinck	Govaert
Flint	Alex Russell
Flint	William Russell
Floris	Frans
Foglio	Kaja
Foglio	Phil
Fonssagrives	Fernand
Fontana	Franco
Fontana	Lavinia
Fontana	Lucio
Forain	Jean-Louis
Forbes	Stanhope
Ford	Henry Justice
Fortescue-Brickdale	Eleanor
Foss	Chris
Foster	Hal
Foster	Jon
Foster	Myles Birket
Foster	Norman
Fouquet	Jean
Fox	Toby
Fraction	Matt
Fragonard	Alexandre-Évariste
Fragonard	Jean-Honoré
Frahm	Art
Francis	Sam
Francken the Younger	Frans
Frank	Lisa
Franke	Andreas
Frankenthaler	Helen
Frazetta	Frank
Freas	Kelly
Freeman	Ed
Freud	Lucian
Friedrich	Caspar David
Friel	Chris
Frieseke	Frederick Carl
Frissell	Toni
Frith	William Powell
Froud	Brian
Froud	Wendy
Fruin	Tom
Fuchs	Ando
Fuchs	Ernst
Fujimoto	Sou
Fujita	Goro
Fuller	Buckminster
Fusco	Paul
Fuseli	Henry
Gacy	John Wayne
Gadd	Elizabeth
Gaiman	Neil
Gainsborough	Thomas
Gallé	Émile
Gammell	Stephen
Gangloff	Hope
Garber	Daniel
Garcin	Gilbert
Garmash	Inessa
Garmash	Michael
Gaudí	Antoni
Gaughan	Jack
Gauguin	Paul
Gaulli	Giovanni Battista
Ge	Nikolai
Geary	Emma
Geddes	Anne
Geddes	Jeremy
Gehry	Frank
Gekas	Bill
Gentileschi	Artemisia
Gentileschi	Orazio
Gerard	Justin
Gerhartz	Daniel F.
Géricault	Théodore
Gérôme	Jean-Léon
Gerstner	Karl
Gertler	Mark
Ghailan	Atey
Ghenie	Adrian
Giacometti	Alberto
Giancola	Donato
Gibbons	Dave
Gifford	Sanford Robinson
Giger	H. R. (Hans Ruedi)
Gilleard	James
Gillen	Kieron
Gillett	Leticia
Gilliam	Sam
Gillick	Liam
Gillmor	Robert
Giordano	Luca
Giorgione	N/A
Giotto	N/A
Girard	Greg
Girardet	Eugène
Giraud	Jean
Girodet	Anne-Louis
Glaser	Milton
Glendening	Alfred Augustus
Glinn	Burt
Globepainter	Seth
Gluck	Gerhard
Gluckmann	Grigory
Goble	Warwick
Godward	John William
